trade_date,update_time,ts_code,name,price,open,high,low,close,pre_close,pct_chg,amount,volume,turnover_rate,volume_ratio,sector_name,sector_rank,sector_limitup_count,sector_gt6_count,sector_amount_ratio,pre_day_limitup,today_limitup,today_limit_up_price,prev_limit_up_price,ret_5d,ret_20d
20260703,2026-07-06 15:49:56,920026.BJ,卓兆点胶,22.3,21.52,22.54,21.33,22.3,20.969998796340878,6.3424,46141172.64,20926.66,2.4159,1.48,机械基件,99.0,0.0,28,12.113739923045793,0,0,27.26,,6.3424,6.3424
20260703,2026-07-06 15:49:56,920089.BJ,禾昌聚合,10.8,10.12,11.09,10.06,10.8,10.0,8.0,39059388.13,36995.02,3.3161,2.38,塑料,99.0,0.0,11,3.5105943606759533,0,0,13.0,,8.0,8.0
20260703,2026-07-06 15:49:56,920091.BJ,大鹏工业,40.8,38.22,41.8,37.58,40.8,37.90000529485368,7.6517,85596958.96000001,21230.54,14.6415,2.44,专用机械,99.0,0.0,39,22.09610923873684,0,0,49.27,,7.6517,7.6517
20260703,2026-07-06 15:49:56,920096.BJ,嘉晨智能,51.62,42.8,51.62,42.25,51.62,42.77998639195318,20.6639,214661937.39000002,44655.49,27.5651,2.5,电器仪表,99.0,0.0,10,5.915751620027155,0,0,55.61,,20.6639,20.6639
20260703,2026-07-06 15:49:56,920100.BJ,三协电机,46.1,41.47,47.98,41.37,46.1,40.96998437630531,12.5214,333215320.71,74696.55,27.2633,2.45,电气设备,99.0,0.0,33,27.418844383097706,0,0,53.26,,12.5214,12.5214
20260703,2026-07-06 15:49:56,920111.BJ,聚星科技,36.63,34.01,36.8,34.0,36.63,34.25000163629547,6.9489,256782467.48,71943.77,9.5558,1.64,电气设备,99.0,0.0,33,27.418844383097706,0,0,44.52,,6.9489,6.9489
20260703,2026-07-06 15:49:56,920187.BJ,通领科技,21.1,18.84,21.13,18.64,21.1,18.700004076778143,12.8342,48797061.25,24282.99,7.3152,3.74,汽车配件,99.0,0.0,65,13.969345747411237,0,0,24.31,,12.8342,12.8342
20260703,2026-07-06 15:49:56,920200.BJ,振宏股份,34.45,32.41,34.87,32.41,34.45,32.34000848631863,6.5244,117526732.56,34549.02,7.7867,1.28,电气设备,99.0,0.0,33,27.418844383097706,0,0,42.04,,6.5244,6.5244
20260703,2026-07-06 15:49:56,920220.BJ,朗信电气,57.98,54.0,59.53,53.01,57.98,53.89001714851356,7.5895,139833725.73000002,24541.14,11.8351,1.2,汽车配件,99.0,0.0,65,13.969345747411237,0,0,70.05,,7.5895,7.5895
20260703,2026-07-06 15:49:56,920247.BJ,华密新材,17.0,15.78,17.5,15.7,17.0,15.879999514258838,7.0529,95399657.82,56891.35,4.1483,2.1,橡胶,99.0,0.0,1,0.3187265842387212,0,0,20.64,,7.0529,7.0529
20260703,2026-07-06 15:49:56,920407.BJ,驰诚股份,14.02,13.5,14.28,13.08,14.02,13.190005701243548,6.2926,18872558.46,13749.67,3.9555,2.07,电器仪表,99.0,0.0,10,5.915751620027155,0,0,17.14,,6.2926,6.2926
20260703,2026-07-06 15:49:56,920418.BJ,苏轴股份,22.31,20.36,23.33,20.35,22.31,20.3700017713045,9.5238,158456487.41,71774.69,4.574,2.6,汽车配件,99.0,0.0,65,13.969345747411237,0,0,26.48,,9.5238,9.5238
20260703,2026-07-06 15:49:56,920425.BJ,乐创技术,24.52,22.65,24.73,22.65,24.52,22.70000444372028,8.0176,92815364.51,38719.72,6.539,1.78,专用机械,99.0,0.0,39,22.09610923873684,0,0,29.51,,8.0176,8.0176
20260703,2026-07-06 15:49:56,920469.BJ,富恒新材,6.26,5.9,6.66,5.82,6.26,5.879999173418646,6.4626,35667637.519999996,56894.84,5.4998,2.04,塑料,99.0,0.0,11,3.5105943606759533,0,0,7.64,,6.4626,6.4626
20260703,2026-07-06 15:49:56,920491.BJ,奥迪威,31.0,28.62,32.02,28.5,31.0,28.659997207961563,8.1647,214227357.85999998,70175.8,6.0589,1.88,元器件,99.0,0.0,32,64.38759093254617,0,0,37.25,,8.1647,8.1647
20260703,2026-07-06 15:49:56,920522.BJ,纳科诺尔,25.16,23.2,25.58,23.14,25.16,23.12999590904285,8.7765,233221821.6,93665.61,5.1458,1.51,专用机械,99.0,0.0,39,22.09610923873684,0,0,30.06,,8.7765,8.7765
20260703,2026-07-06 15:49:56,920533.BJ,骏创科技,22.05,20.29,22.88,20.29,22.05,20.26999076129673,8.7815,113015362.7,52062.23,7.1184,2.53,汽车配件,99.0,0.0,65,13.969345747411237,0,0,26.35,,8.7815,8.7815
20260703,2026-07-06 15:49:56,920578.BJ,巨能股份,23.75,21.2,24.98,21.0,23.75,21.020005735142618,12.9876,157045092.64,68750.75,19.3659,1.8,专用机械,99.0,0.0,39,22.09610923873684,0,0,27.32,,12.9876,12.9876
20260703,2026-07-06 15:49:56,920579.BJ,机科股份,17.34,16.01,18.16,16.0,17.34,16.0,8.375,60078980.06,35127.29,7.8806,2.38,机械基件,99.0,0.0,28,12.113739923045793,0,0,20.8,,8.375,8.375
20260703,2026-07-06 15:49:56,920593.BJ,鼎智科技,33.38,30.32,33.98,30.3,33.38,29.88000554991116,11.7135,395885699.81,122509.04,7.5805,2.7,机械基件,99.0,0.0,28,12.113739923045793,0,0,38.84,,11.7135,11.7135
20260703,2026-07-06 15:49:56,920642.BJ,通易航天,11.82,10.99,13.12,10.88,11.82,10.880000589103247,8.6397,110748443.53,91150.04,9.1189,2.07,航空,99.0,0.0,11,5.0869768229556644,0,0,14.14,,8.6397,8.6397
20260703,2026-07-06 15:49:56,920663.BJ,明阳科技,14.06,13.15,14.26,13.13,14.06,13.25999781200605,6.0332,30503940.869999997,22030.39,3.4381,2.37,汽车配件,99.0,0.0,65,13.969345747411237,0,0,17.23,,6.0332,6.0332
20260703,2026-07-06 15:49:56,920690.BJ,捷众科技,16.67,15.57,16.78,15.55,16.67,15.629995715112155,6.6539,25777179.47,15791.17,2.8184,1.38,汽车配件,99.0,0.0,65,13.969345747411237,0,0,20.31,,6.6539,6.6539
20260703,2026-07-06 15:49:56,920720.BJ,吉冈精密,10.89,10.14,11.11,10.12,10.89,10.18999808177263,6.8695,54848749.44,51135.85,6.9086,2.36,机械基件,99.0,0.0,28,12.113739923045793,0,0,13.24,,6.8695,6.8695
20260703,2026-07-06 15:49:56,920790.BJ,联迪信息,28.53,28.8,28.89,26.7,28.53,26.800006011918633,6.4552,189488948.88000003,68222.69,12.5513,0.94,软件服务,99.0,0.0,5,12.315224645646992,0,0,34.84,,6.4552,6.4552
20260703,2026-07-06 15:49:56,920932.BJ,科达自控,14.22,13.0,15.5,13.0,14.22,12.460000070098454,14.1252,116202888.64,80951.68,9.2841,4.17,软件服务,99.0,0.0,5,12.315224645646992,0,0,16.19,,14.1252,14.1252
20260703,2026-07-06 15:49:56,920961.BJ,创远信科,25.9,23.84,26.62,23.81,25.9,24.080008851030282,7.5581,194803721.77,75731.78,7.2854,1.23,电器仪表,99.0,0.0,10,5.915751620027155,0,0,31.3,,7.5581,7.5581
20260703,2026-07-06 15:49:56,920978.BJ,开特股份,23.3,21.5,23.8,21.31,23.3,21.670003971283993,7.5219,122924186.67,53928.93,5.3429,2.18,汽车配件,99.0,0.0,65,13.969345747411237,0,0,28.17,,7.5219,7.5219
